rowKey,estimated_effect,Clustered_se,Boot_se,boot_t_statistic,boot_pval,boot_conf_l,boot_conf_h,N_obvs
"B wages stacked",4861.667,2575.376,2711.644,1.792885,.073,470.8,9720.816,34683
"B work stacked",.0119774,.0094247,.0094291,1.270262,.204,-.0039741,.0291166,34683
"B pwages stacked",1.970699,1.256313,1.236513,1.593755,.111,-.0305357,4.653388,34683
"B avt stacked",-.0052004,.0107328,.012164,.4275245,.669,-.0301532,.0143689,34683
"B avt_tot stacked",-13.90664,116.0501,135.0761,.1029541,.918,-276.6517,189.8361,34683
"B months stacked",.1937599,.1377441,.1441808,1.343868,.179,-.0435679,.4540094,34683
