rowKey,estimated_effect,Clustered_se,Boot_se,boot_t_statistic,boot_pval,boot_conf_l,boot_conf_h,N_obvs
"B wages stacked",4677.943,2124.815,2266.177,2.064244,.039,1037.786,8125.45,47709
"B work stacked",.0123805,.0119876,.0129751,.9541748,.34,-.0086898,.0325931,47709
"B pwages stacked",2.014919,1.114483,1.181023,1.706078,.088,.0735665,4.094691,47709
"B avt stacked",-.0018887,.0087673,.0092959,.2031739,.839,-.0189974,.0135593,47709
"B avt_tot stacked",27.8746,85.19906,94.07466,.296303,.767,-149.8303,180.5145,47709
"B months stacked",.2289069,.1426282,.1519676,1.506288,.132,-.0139971,.4806764,47709
